tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0072308	movie	The Towering Inferno	The Towering Inferno	0	1974	\N	165	"Action,Drama,Thriller"
tt0050419	movie	Funny Face	Funny Face	0	1957	\N	103	"Comedy,Musical,Romance"
tt0045537	movie	The Band Wagon	The Band Wagon	0	1953	\N	112	"Comedy,Musical,Romance"
tt0043044	movie	Three Little Words	Three Little Words	0	1950	\N	102	"Biography,Comedy,Musical"
tt0117057	movie	The Mirror Has Two Faces	The Mirror Has Two Faces	0	1996	\N	126	"Comedy,Drama,Romance"
tt0037382	movie	To Have and Have Not	To Have and Have Not	0	1944	\N	100	"Adventure,Comedy,Romance"
tt0038355	movie	The Big Sleep	The Big Sleep	0	1946	\N	114	"Crime,Film-Noir,Mystery"
tt0054452	movie	The Truth	La vérité	0	1960	\N	130	Drama
tt0059956	movie	Viva Maria!	Viva Maria!	0	1965	\N	120	"Adventure,Comedy,Romance"
tt0049189	movie	...And God Created Woman	Et Dieu... créa la femme	0	1956	\N	95	"Drama,Romance"
tt0057345	movie	Contempt	Le mépris	0	1963	\N	103	Drama
tt0078723	movie	1941	1941	0	1979	\N	118	"Action,Comedy,War"
tt0072562	tvSeries	Saturday Night Live	Saturday Night Live	0	1975	\N	90	"Comedy,Music"
tt0080455	movie	The Blues Brothers	The Blues Brothers	0	1980	\N	133	"Adventure,Comedy,Crime"
tt0077975	movie	Animal House	Animal House	0	1978	\N	109	Comedy
tt0060827	movie	Persona	Persona	0	1966	\N	85	"Drama,Thriller"
tt0050976	movie	The Seventh Seal	Det sjunde inseglet	0	1957	\N	96	"Drama,Fantasy"
tt0050986	movie	Wild Strawberries	Smultronstället	0	1957	\N	91	"Drama,Romance"
tt0083922	movie	Fanny and Alexander	Fanny och Alexander	0	1982	\N	188	Drama
tt0038109	movie	Spellbound	Spellbound	0	1945	\N	111	"Film-Noir,Mystery,Romance"
tt0077711	movie	Autumn Sonata	Höstsonaten	0	1978	\N	99	"Drama,Music"
tt0038787	movie	Notorious	Notorious	0	1946	\N	101	"Drama,Film-Noir,Romance"
tt0071877	movie	Murder on the Orient Express	Murder on the Orient Express	0	1974	\N	128	"Crime,Drama,Mystery"
tt0034583	movie	Casablanca	Casablanca	0	1942	\N	102	"Drama,Romance,War"
tt0043265	movie	The African Queen	The African Queen	0	1951	\N	105	"Adventure,Drama,Romance"
tt0033870	movie	The Maltese Falcon	The Maltese Falcon	0	1941	\N	100	"Film-Noir,Mystery"
tt0068646	movie	The Godfather	The Godfather	0	1972	\N	175	"Crime,Drama"
tt0078788	movie	Apocalypse Now	Apocalypse Now	0	1979	\N	147	"Drama,War"
tt0047296	movie	On the Waterfront	On the Waterfront	0	1954	\N	108	"Crime,Drama,Thriller"
tt0070849	movie	Last Tango in Paris	Ultimo tango a Parigi	0	1972	\N	129	"Drama,Romance"
tt0057877	movie	Becket	Becket	0	1964	\N	148	"Biography,Drama,History"
tt0061184	movie	Who's Afraid of Virginia Woolf?	Who's Afraid of Virginia Woolf?	0	1966	\N	131	Drama
tt0087803	movie	1984	Nineteen Eighty-Four	0	1984	\N	113	"Drama,Sci-Fi"
tt0059749	movie	The Spy Who Came in from the Cold	The Spy Who Came in from the Cold	0	1965	\N	112	"Drama,Thriller"
tt0031867	movie	The Roaring Twenties	The Roaring Twenties	0	1939	\N	106	"Action,Crime,Drama"
tt0035575	movie	Yankee Doodle Dandy	Yankee Doodle Dandy	0	1942	\N	126	"Biography,Drama,Musical"
tt0055256	movie	"One, Two, Three"	"One, Two, Three"	0	1961	\N	104	Comedy
tt0029870	movie	Angels with Dirty Faces	Angels with Dirty Faces	0	1938	\N	97	"Crime,Drama,Film-Noir"
tt0044706	movie	High Noon	High Noon	0	1952	\N	85	"Action,Drama,Thriller"
tt0034167	movie	Sergeant York	Sergeant York	0	1941	\N	134	"Biography,Drama,History"
tt0027996	movie	Mr. Deeds Goes to Town	Mr. Deeds Goes to Town	0	1936	\N	115	"Comedy,Drama,Romance"
tt0035211	movie	The Pride of the Yankees	The Pride of the Yankees	0	1942	\N	128	"Biography,Drama,Romance"
tt0042192	movie	All About Eve	All About Eve	0	1950	\N	138	Drama
tt0035140	movie	"Now, Voyager"	"Now, Voyager"	0	1942	\N	117	"Drama,Romance"
tt0031210	movie	Dark Victory	Dark Victory	0	1939	\N	104	"Drama,Romance"
tt0056687	movie	What Ever Happened to Baby Jane?	What Ever Happened to Baby Jane?	0	1962	\N	134	"Drama,Horror,Thriller"
tt0055100	movie	Lover Come Back	Lover Come Back	0	1961	\N	107	"Comedy,Drama,Romance"
tt0048317	movie	Love Me or Leave Me	Love Me or Leave Me	0	1955	\N	122	"Biography,Drama,Music"
tt0060463	movie	The Glass Bottom Boat	The Glass Bottom Boat	0	1966	\N	110	"Comedy,Romance"
tt0053172	movie	Pillow Talk	Pillow Talk	0	1959	\N	102	"Comedy,Romance"
tt0041452	movie	The Heiress	The Heiress	0	1949	\N	115	"Drama,Romance"
tt0029843	movie	The Adventures of Robin Hood	The Adventures of Robin Hood	0	1938	\N	102	"Action,Adventure,Romance"
tt0031381	movie	Gone with the Wind	Gone with the Wind	0	1939	\N	238	"Drama,History,Romance"
tt0045458	tvSeries	You Are There	You Are There	0	1953	1971	30	"Drama,History"
tt0048545	movie	Rebel Without a Cause	Rebel Without a Cause	0	1955	\N	111	Drama
tt0049261	movie	Giant	Giant	0	1956	\N	201	"Drama,Western"
tt0096320	movie	Twins	Twins	0	1988	\N	107	"Comedy,Crime"
tt0091763	movie	Platoon	Platoon	0	1986	\N	120	"Drama,War"
tt0079477	movie	A Little Romance	A Little Romance	0	1979	\N	110	"Adventure,Comedy,Romance"
tt0069946	movie	The Day of the Dolphin	The Day of the Dolphin	0	1973	\N	104	"Drama,Sci-Fi,Thriller"
tt0055031	movie	Judgment at Nuremberg	Judgment at Nuremberg	0	1961	\N	186	"Drama,War"
tt0051201	movie	Witness for the Prosecution	Witness for the Prosecution	0	1957	\N	116	"Crime,Drama,Mystery"
tt0040367	movie	A Foreign Affair	A Foreign Affair	0	1948	\N	116	"Comedy,Drama,Romance"
tt0052311	movie	Touch of Evil	Touch of Evil	0	1958	\N	95	"Crime,Drama,Film-Noir"
tt0052365	movie	The Vikings	The Vikings	0	1958	\N	116	"Action,Adventure"
tt0056195	movie	Lonely Are the Brave	Lonely Are the Brave	0	1962	\N	107	"Drama,Western"
tt0054331	movie	Spartacus	Spartacus	0	1960	\N	197	"Adventure,Biography,Drama"
tt0049456	movie	Lust for Life	Lust for Life	0	1956	\N	122	"Biography,Drama"
tt0071129	movie	Amarcord	Amarcord	0	1973	\N	123	"Comedy,Drama"
tt0056801	movie	8½	8½	0	1963	\N	138	Drama
tt0047528	movie	La Strada	La strada	0	1954	\N	108	Drama
tt0053779	movie	La Dolce Vita	La dolce vita	0	1960	\N	174	"Comedy,Drama"
tt0082846	movie	On Golden Pond	On Golden Pond	0	1981	\N	109	Drama
tt0032551	movie	The Grapes of Wrath	The Grapes of Wrath	0	1940	\N	129	"Drama,History"
tt0050083	movie	12 Angry Men	12 Angry Men	0	1957	\N	96	"Crime,Drama"
tt0064116	movie	Once Upon a Time in the West	C'era una volta il West	0	1968	\N	164	Western
tt0036969	movie	Jane Eyre	Jane Eyre	0	1943	\N	97	"Drama,Romance"
tt0039504	movie	Ivy	Ivy	0	1947	\N	99	"Crime,Drama,Film-Noir"
tt0032976	movie	Rebecca	Rebecca	0	1940	\N	130	"Drama,Mystery,Romance"
tt0034248	movie	Suspicion	Suspicion	0	1941	\N	99	"Mystery,Thriller"
tt0025316	movie	It Happened One Night	It Happened One Night	0	1934	\N	105	"Comedy,Romance"
tt0026752	movie	Mutiny on the Bounty	Mutiny on the Bounty	0	1935	\N	132	"Adventure,Biography,Drama"
tt0052278	movie	Teacher's Pet	Teacher's Pet	0	1958	\N	120	"Comedy,Romance"
tt0047522	movie	A Star Is Born	A Star Is Born	0	1954	\N	154	"Drama,Musical,Romance"
tt0032138	movie	The Wizard of Oz	The Wizard of Oz	0	1939	\N	102	"Adventure,Family,Fantasy"
tt0082031	movie	Arthur	Arthur	0	1981	\N	97	"Comedy,Romance"
tt0076574	movie	Providence	Providence	0	1977	\N	110	Drama
tt0045943	movie	Julius Caesar	Julius Caesar	0	1953	\N	120	"Biography,Drama,History"
tt0112715	movie	Congo	Congo	0	1995	\N	109	"Action,Adventure,Mystery"
tt0117731	movie	Star Trek: First Contact	Star Trek: First Contact	0	1996	\N	111	"Action,Adventure,Drama"
tt0119488	movie	L.A. Confidential	L.A. Confidential	0	1997	\N	138	"Crime,Drama,Mystery"
tt0100802	movie	Total Recall	Total Recall	0	1990	\N	113	"Action,Sci-Fi,Thriller"
tt0053125	movie	North by Northwest	North by Northwest	0	1959	\N	136	"Adventure,Mystery,Thriller"
tt0048728	movie	To Catch a Thief	To Catch a Thief	0	1955	\N	106	"Mystery,Romance,Thriller"
tt0056923	movie	Charade	Charade	0	1963	\N	113	"Comedy,Mystery,Romance"
tt0036613	movie	Arsenic and Old Lace	Arsenic and Old Lace	0	1944	\N	118	"Comedy,Crime,Thriller"
tt0051739	movie	The Horse's Mouth	The Horse's Mouth	0	1958	\N	97	Comedy
tt0076759	movie	Star Wars: Episode IV - A New Hope	Star Wars	0	1977	\N	121	"Action,Adventure,Fantasy"
tt0041546	movie	Kind Hearts and Coronets	Kind Hearts and Coronets	0	1949	\N	106	"Comedy,Crime"
